recipe_id,search_term
434695,dessert
434695,dinner
434695,low-sodium
434695,vegetarian
453350,fish
453350,dinner
453350,low-carb
463638,french
463638,vegetarian
463638,english
495397,dessert
495397,dinner
495397,low-carb
495397,chicken
513780,dinner
513780,chicken
521791,pork
521791,dinner
521791,soup
30968,italian
30968,low-sodium
30968,vegetarian
30968,healthy
30968,dinner
44235,lunch
44235,snack
57562,dessert
57562,low-fat
57562,low-calorie
97183,dinner
97183,vegetarian
145233,lunch
145233,sandwich
145233,snack
145233,baked
152122,low-sodium
152122,low-calorie
152122,vegetarian
152122,low-carb
152122,appetizer
163370,healthy
163370,dessert
163370,low-sodium
187941,appetizer
187941,bread
187941,low-carb
205218,appetizer
205218,mexican
205218,lunch
205218,snack
216253,dinner
216253,chicken
217012,bread
229942,ethiopian
378032,chicken
241799,dessert
260554,soup
260554,chicken
268321,dessert
268321,side
268321,pudding
268321,spanish
278119,greek
278119,dinner
285168,breakfast
285168,low-carb
299530,korean
299530,dinner
299530,soup
317541,diabetic
317541,low-sodium
317541,low-carb
317541,dinner
317541,chicken
328012,appetizer
342650,healthy
342650,dessert
342650,low-fat
344072,appetizer
344072,indian
344072,vegetarian
360603,side
360603,low-calorie
360603,vegetarian
360603,low-carb
365369,breakfast
365369,low-calorie
392973,pizza
411842,dinner
411842,pasta
411842,chicken
420554,dessert
420554,low-sodium
438862,low-calorie
438862,healthy
438862,low-carb
438862,mexican
438862,soup
440802,southern
440802,dinner
466484,low-calorie
466484,vegetarian
466484,healthy
466484,low-fat
466484,soup
481622,side
481622,low-calorie
481622,vegetarian
481622,low-carb
525399,mexican
525399,side
525399,rice
5139,low-calorie
5139,low-sodium
5139,low-carb
5139,russian
5139,dinner
5139,soup
77021,soup
77021,chicken
92154,dinner
92154,low-calorie
92154,low-carb
108247,dinner
108247,soup
116696,dinner
116696,vegetarian
116696,pasta
121303,breakfast
146041,cake
146041,dessert
146041,pie
146401,pizza
146401,dinner
146401,italian
171275,low-sodium
171275,vegetarian
171275,greek
171275,side
171275,vegan
177225,bread
181978,southern
181978,dinner
181978,low-sodium
181978,shrimp
203281,low-fat
203281,low-carb
203281,dinner
205357,thai
205357,dessert
205357,soup
211860,dessert
211860,pie
211860,low-sodium
229263,breakfast
229263,dinner
229263,beef
229263,southern
235064,lunch
235064,snack
235064,salad
298595,breakfast
298595,beef
321792,chicken
321792,dinner
321792,salad
329422,healthy
329422,dessert
329422,pie
334839,dinner
334839,pasta
338627,appetizer
338627,mexican
354231,appetizer
354231,side
359677,dinner
359677,lunch
360683,dinner
360683,italian
360683,pasta
365977,breakfast
365977,sandwich
365977,lunch
366623,dinner
394935,soup
394935,beef
403147,cookie
403147,dessert
408997,vegetarian
408997,dessert
408997,bread
408997,cake
408997,breakfast
432469,healthy
432469,low-calorie
432469,low-fat
432469,low-sodium
451339,dinner
451339,low-carb
451339,chicken
451391,pie
451391,dinner
8846,cake
8846,dessert
33205,cookie
33205,dessert
33205,vegetarian
43611,lunch
60876,dessert
60876,low-sodium
88682,side
88682,vegetarian
90508,bread
99772,breakfast
99772,barbecue
99772,lunch
127280,italian
127280,lunch
127280,vegetarian
127280,low-carb
127280,appetizer
127280,dinner
127280,snack
160485,low-calorie
160485,low-carb
160485,shrimp
205121,low-calorie
205121,low-sodium
205121,vegetarian
205121,healthy
205121,low-carb
205121,low-fat
219882,appetizer
219882,low-carb
243889,dessert
243889,low-sodium
250792,side
264015,cookie
264015,dessert
264015,lunch
264015,snack
365439,dessert
365439,dinner
365439,low-sodium
533858,salad
374387,lactose-free
374387,lunch
374387,salad
386706,diabetic
386706,creole
386706,lunch
386706,low-fat
386706,southern
386706,soup
409275,breakfast
409275,low-sodium
416009,low-fat
416009,low-calorie
416009,low-carb
416009,dinner
487683,chicken
487683,rice
487683,dinner
487683,salad
502303,dinner
520886,appetizer
520886,low-carb
64945,appetizer
64945,dinner
95282,gluten-free
107254,dessert
130161,greek
130161,dinner
130161,vegetarian
130161,lunch
142712,cake
142712,dessert
142712,german
234171,thai
234171,dessert
234171,rice
234171,low-sodium
234607,low-sodium
234607,low-calorie
234607,vegetarian
234607,italian
234607,healthy
234607,low-carb
234607,low-fat
234607,dinner
243086,dessert
262403,appetizer
262403,dinner
262403,chicken
265265,dessert
269690,dinner
269690,pasta
285000,dinner
285000,beef
285000,lunch
311010,dessert
311010,bread
322983,dinner
325626,lunch
325626,bread
325626,snack
342135,casserole
342135,dinner
353952,dinner
353952,chicken
369414,rice
369414,vegetarian
369414,dessert
369414,chinese
369414,vegan
426090,indian
426090,side
426090,low-calorie
426090,low-carb
445577,thai
445577,dinner
445577,low-sodium
445577,chicken
449488,dessert
449488,low-sodium
449488,snack
451297,gluten-free
451297,bread
451297,snack
460174,dinner
460174,salad
462748,dinner
462748,low-calorie
462748,low-carb
481440,diabetic
481440,healthy
481440,low-carb
481440,fish
481440,dinner
531712,dinner
531712,chicken
18204,bread
33096,dessert
33096,pie
33798,polish
56916,cake
