recipe_id,ingredient_id
96313,1
232102,1
299530,1
77021,1
146401,1
496854,1
435778,1
302648,1
386741,1
274368,1
193648,1
529965,1
28155,1
16918,1
77570,1
415157,1
437272,1
193743,1
169916,1
79378,1
202716,1
316804,1
321993,1
301643,1
299617,1
326020,1
475793,1
209442,1
82971,1
93245,1
468886,1
113071,1
518610,1
198484,1
349389,1
232063,1
13041,1
295792,1
487477,1
6809,1
416114,1
38267,1
178670,1
153486,1
465912,1
458274,1
500855,1
352973,1
483673,1
38777,1
292618,1
81758,1
53643,1
171065,1
102631,1
485989,1
148895,1
483041,1
51,1
354,1
413399,1
241831,1
496289,1
379453,1
535745,1
282528,1
319462,1
172642,1
117077,1
371340,1
146016,1
309081,1
472571,1
224116,1
415796,1
459253,1
436128,1
254447,1
198771,1
373184,1
387890,1
412879,1
91061,1
525813,1
217036,1
341320,1
64443,1
219776,1
470838,1
506626,1
156280,1
123252,1
454579,1
460995,1
103886,1
162419,1
207402,1
492631,1
499092,1
329767,1
254544,1
301413,1
334627,1
345680,1
502400,1
195824,1
147389,1
342406,1
15641,1
16467,1
283313,1
459886,1
82013,1
56134,1
9787,1
521224,1
366753,1
486006,1
90349,1
166298,1
451487,1
36824,1
98450,1
322065,1
278882,1
443740,1
43544,1
96313,2
387537,2
231191,2
96313,3
232037,3
232047,3
232050,3
232086,3
232095,3
232057,3
232105,3
251759,3
232064,3
87750,3
145160,3
195132,3
198312,3
204805,3
208980,3
219118,3
228530,3
240833,3
319626,3
342209,3
424415,3
462020,3
489197,3
21531,3
33486,3
36144,3
39,3
45315,3
162574,3
181439,3
190875,3
254859,3
414099,3
433486,3
116953,3
150378,3
204255,3
300405,3
435357,3
23259,3
135021,3
139291,3
245936,3
250609,3
360361,3
381108,3
513780,3
57562,3
97183,3
217012,3
378032,3
241799,3
268321,3
278119,3
285168,3
344072,3
360603,3
392973,3
525399,3
92154,3
116696,3
146041,3
146401,3
177225,3
181978,3
229263,3
298595,3
329422,3
403147,3
408997,3
451339,3
8846,3
33205,3
88682,3
90508,3
160485,3
219882,3
243889,3
365439,3
374387,3
64945,3
142712,3
234171,3
262403,3
325626,3
369414,3
426090,3
449488,3
451297,3
18204,3
177950,3
204250,3
304497,3
488916,3
534806,3
14813,3
20041,3
32129,3
129377,3
194799,3
219435,3
234183,3
289634,3
308940,3
347292,3
507226,3
36615,3
166852,3
175614,3
267358,3
363765,3
383271,3
384342,3
483275,3
484398,3
507198,3
232039,3
6933,3
232042,3
232046,3
169,3
232049,3
232052,3
45732,3
54955,3
138734,3
197701,3
442867,3
448190,3
7729,3
124417,3
192044,3
204064,3
407499,3
414715,3
428522,3
466704,3
477923,3
67343,3
165888,3
200083,3
258050,3
261427,3
321513,3
337481,3
53727,3
152116,3
166627,3
212135,3
257453,3
305675,3
531501,3
7068,3
77337,3
164312,3
166865,3
174284,3
201322,3
216162,3
252546,3
253000,3
326843,3
348112,3
359646,3
428540,3
514274,3
38459,3
43572,3
53518,3
67055,3
133224,3
202788,3
236801,3
281867,3
345301,3
387741,3
422652,3
431381,3
458421,3
460085,3
11415,3
44360,3
74307,3
139831,3
229525,3
135977,3
268936,3
317428,3
356063,3
390060,3
402456,3
10637,3
37158,3
96211,3
109578,3
128376,3
225425,3
250101,3
375905,3
394261,3
437040,3
7111,3
34462,3
49152,3
99672,3
107410,3
125843,3
171633,3
357841,3
450426,3
3818,3
168848,3
250973,3
281529,3
336168,3
351464,3
354789,3
512630,3
523259,3
526022,3
96399,3
117187,3
139213,3
141963,3
193874,3
336895,3
360800,3
457218,3
490289,3
524957,3
201954,3
229353,3
354707,3
372881,3
376558,3
444030,3
480159,3
534857,3
21154,3
131904,3
183397,3
380281,3
507016,3
243834,3
278695,3
288205,3
299157,3
306351,3
369436,3
411854,3
459018,3
360,3
70671,3
77295,3
130989,3
182461,3
218412,3
264927,3
247633,3
307883,3
438268,3
91880,3
86858,3
95247,3
103660,3
108366,3
120865,3
231872,3
233091,3
256978,3
275555,3
295011,3
309387,3
349788,3
414749,3
489598,3
502887,3
509010,3
525712,3
33861,3
53630,3
168855,3
186622,3
187850,3
294242,3
325024,3
328584,3
334013,3
386633,3
19485,3
175073,3
182570,3
215412,3
337455,3
338392,3
379024,3
395825,3
448630,3
477434,3
482429,3
484306,3
172002,3
180403,3
192698,3
211223,3
291371,3
477444,3
15574,3
76458,3
96367,3
101768,3
14004,3
195849,3
216749,3
237625,3
321900,3
385438,3
523299,3
7390,3
99563,3
193487,3
239990,3
282824,3
290650,3
368659,3
371450,3
382227,3
402245,3
420714,3
434394,3
499748,3
503,3
38535,3
127893,3
139333,3
139748,3
141614,3
172271,3
319545,3
11967,3
22866,3
39792,3
42648,3
53122,3
61143,3
275966,3
324948,3
327032,3
404335,3
493437,3
15110,3
37061,3
517800,3
15745,3
173386,3
223830,3
386081,3
529965,3
21290,3
28155,3
148767,3
153242,3
172046,3
199488,3
15692,3
235273,3
330830,3
362396,3
369479,3
399786,3
412951,3
509367,3
54231,3
156341,3
190298,3
77214,3
214031,3
278288,3
311436,3
311721,3
346518,3
352845,3
390134,3
393057,3
451569,3
484436,3
510051,3
232072,3
232087,3
232089,3
33283,3
91908,3
178244,3
211781,3
371411,3
396482,3
452580,3
463833,3
497061,3
504719,3
513910,3
27654,3
49461,3
207902,3
224949,3
243957,3
430499,3
488144,3
530889,3
169546,3
250562,3
275688,3
433369,3
448290,3
450342,3
463588,3
16918,3
26706,3
69213,3
94525,3
98536,3
119196,3
170492,3
177652,3
180137,3
349022,3
452959,3
454683,3
513133,3
514141,3
77570,3
49413,3
60759,3
62969,3
174232,3
209711,3
257171,3
337567,3
343369,3
379927,3
387661,3
411194,3
415157,3
424835,3
499881,3
516505,3
355,3
60280,3
135470,3
171619,3
188782,3
193654,3
211997,3
262784,3
301019,3
315662,3
316713,3
403141,3
414186,3
485680,3
516166,3
136376,3
144387,3
173930,3
176690,3
194492,3
317280,3
328474,3
349936,3
354285,3
468359,3
469779,3
15374,3
17099,3
54970,3
19512,3
75755,3
108716,3
139594,3
243349,3
316767,3
356709,3
415040,3
415875,3
459856,3
499424,3
531811,3
59038,3
211364,3
214844,3
347153,3
361164,3
443155,3
507740,3
21936,3
75217,3
92798,3
234873,3
252404,3
274774,3
324792,3
332419,3
332795,3
351701,3
358664,3
397842,3
403597,3
430203,3
438538,3
498996,3
507674,3
84494,3
112973,3
241085,3
242915,3
313457,3
318009,3
329597,3
369556,3
379348,3
449958,3
24453,3
166460,3
107225,3
146018,3
161772,3
181085,3
245818,3
266604,3
282983,3
350559,3
437272,3
440275,3
510388,3
32082,3
45539,3
51036,3
63059,3
63974,3
134295,3
147166,3
171049,3
183623,3
198160,3
250805,3
349984,3
361403,3
386781,3
430367,3
443058,3
488472,3
500859,3
23244,3
62125,3
298568,3
321162,3
328120,3
379441,3
485026,3
527285,3
16573,3
17083,3
20717,3
26523,3
161247,3
203143,3
372304,3
1207,3
34233,3
75735,3
144567,3
165512,3
199329,3
94938,3
387458,3
402317,3
458202,3
474661,3
501111,3
529629,3
7379,3
126789,3
128581,3
193743,3
231162,3
337971,3
391002,3
398528,3
447039,3
528355,3
17262,3
33057,3
69243,3
72218,3
82938,3
88086,3
163343,3
219720,3
222765,3
232985,3
356571,3
404457,3
513533,3
515524,3
531508,3
207072,3
330026,3
368428,3
506220,3
513179,3
26320,3
67992,3
99020,3
99363,3
130665,3
169916,3
184551,3
283034,3
461291,3
108734,3
207719,3
270956,3
325009,3
339254,3
458889,3
471902,3
472135,3
503492,3
50022,3
162646,3
216865,3
230965,3
245770,3
246780,3
281125,3
328919,3
346494,3
429607,3
490693,3
536482,3
28517,3
122826,3
129055,3
154281,3
207848,3
220580,3
221149,3
231771,3
288495,3
290864,3
352388,3
168055,3
235347,3
287727,3
334600,3
442111,3
474765,3
504394,3
520652,3
26164,3
232098,3
232055,3
232056,3
232058,3
232059,3
86712,3
196550,3
211592,3
227979,3
291392,3
316174,3
347566,3
451121,3
482945,3
76672,3
124918,3
166600,3
274990,3
282733,3
83657,3
445992,3
454915,3
423221,3
4699,3
43145,3
46006,3
72689,3
74051,3
151223,3
167135,3
175216,3
207158,3
231154,3
234424,3
295978,3
310373,3
322236,3
353980,3
406765,3
8852,3
139072,3
257195,3
350006,3
7679,3
61049,3
101737,3
112378,3
316804,3
321993,3
453547,3
457848,3
484124,3
3881,3
29712,3
28263,3
85580,3
110368,3
169475,3
233050,3
235042,3
263772,3
273976,3
277658,3
346728,3
431267,3
437000,3
537448,3
28830,3
34741,3
184915,3
299849,3
350602,3
476471,3
527451,3
537431,3
9871,3
59648,3
68458,3
97478,3
223246,3
326440,3
333804,3
348311,3
351401,3
355169,3
426017,3
449509,3
301643,3
522417,3
78899,3
129466,3
216108,3
299617,3
412657,3
415756,3
502678,3
13142,3
107792,3
124947,3
143848,3
151580,3
157090,3
203291,3
221703,3
315033,3
338819,3
346093,3
80189,3
83978,3
104126,3
264589,3
273106,3
276476,3
305469,3
331314,3
346040,3
357561,3
396668,3
399699,3
408047,3
425235,3
463273,3
496420,3
518441,3
171145,3
217972,3
326429,3
530831,3
109992,3
124661,3
128587,3
227650,3
319319,3
379419,3
386929,3
458318,3
480021,3
531818,3
82126,3
312342,3
364973,3
423989,3
75957,3
424107,3
456310,3
486555,3
510776,3
512398,3
514916,3
60234,3
119804,3
147246,3
183372,3
322371,3
386810,3
31447,3
419567,3
483073,3
485957,3
109880,3
534869,3
61800,3
182931,3
226351,3
245802,3
259859,3
281545,3
346431,3
376048,3
433597,3
477206,3
513561,3
3000,3
30081,3
40130,3
54946,3
55822,3
57057,3
73545,3
103902,3
209442,3
232495,3
291259,3
